nome_lancamento,tipo_lancamento,data_inicio_captacao,investimento_total,descricao,data_fim_captacao,link_dashboard,link_briefing,observacoes
RENATAVANUCCI | AGO25,externo,2025-07-24,13000,Confirmado,2025-08-09,,https://docs.google.com/spreadsheets/d/1y2cCsmZpdNDllVU9TF32eWc7-7gy3BaNL_E-gM1k1mk/edit?usp=sharing,
DANIGUARDINI | AGO25,externo,2025-07-28,3000,Confirmado,2025-08-09,,https://docs.google.com/spreadsheets/d/1bkJpZGadgol6k2JKI-3tNKmUUg8KaEJqU8UldahD9-o/edit?gid=203571219#gid=203571219,
BORAnaOBRA | CMB12,interno,2025-08-06,50000,Iniciado,2025-08-25,,https://docs.google.com/spreadsheets/d/14VQvf9gDISzdIvXybR8Oz-eFdsUMydtndRnjU6sLEXw/edit?usp=sharing,
RENATAVANUCCI | SET25,interno,2025-08-11,50000,Iniciado,,,https://docs.google.com/spreadsheets/d/1Gh74TQ7N15Kj1LvLWKydqvUmPRlH8IjegbbEaCwWz94/edit?gid=0#gid=0,
DANIGUARDINI | SET25,externo,2025-09-05,5000,Confirmado,2025-09-20,,,
[MATECO] [MARCOZERO],outro,2025-01-14,2000,Confirmado,,,https://docs.google.com/spreadsheets/d/1XkhbvB-gNRzNMSBsNU4NTq_jtYJL-hWATLgHvCOHSu0/edit?usp=sharing,
[EXCELTESALVA] [FEV25],outro,2025-01-20,15000,Confirmado,2025-02-03,https://lookerstudio.google.com/u/0/reporting/8a31afdf-cd3d-44dc-b047-c7fce2b8f647/page/p_u5c19kxscd,https://docs.google.com/spreadsheets/d/1-wWYNnPwqsRhlqf0X1sair3Sko63ahfYyUU3Z-2Bhjc/edit?usp=sharing,
[ERIKABELMONTE] [FEV25],interno,2025-01-28,3000,Confirmado,,https://lookerstudio.google.com/u/0/reporting/57931f5b-76a8-4729-b65b-44a7331c45d4/page/p_ifslfsl9od,https://docs.google.com/spreadsheets/d/1wIpDVFotpMcQoHBihpD2fRWCWcuJWj1PuHMUWJ1W-u8/edit?gid=0#gid=0,
[MATECO] [EXTENSIVO] [FEV25],externo,2025-02-06,4000,Confirmado,,,https://docs.google.com/spreadsheets/d/17pd-CI7F3Qrml0y81K1g2cnU68_OcVQ_g-fl8G5ZCRo/edit?gid=0#gid=0,
CLAUDIAMATOS | MAR25,externo,2025-03-07,400,Confirmado,2025-03-20,,,
FEBURJATO | MAR25 | AULASECRETA,externo,2025-03-04,2000,Confirmado,2025-03-15,,,
CAMILASCREMIN | MET_ABR25,externo,2025-04-02,0,Iniciado,,,https://docs.google.com/document/d/1Pi-ZcUlmVAxOOfldj_0Rs393eQw1MW40qUgPHVG35L4/edit?tab=t0,
LICITOCON | VCG_MAIO25,externo,2025-04-22,4000,Iniciado,2025-05-05,,,
CLAUDIAMATTOS | MAIO25,externo,2025-04-23,600,Confirmado,2025-05-08,,,
FEBURJATO | MAIO25,externo,2025-04-29,2000,Confirmado,2025-05-10,,,
MATECO | LP_MAIO25,externo,2025-05-05,35000,Confirmado,2025-05-31,,https://docs.google.com/file/d/1kej-fCotoS-MsMSHMjTsn12Q3bG0f6OF/edit?filetype=msexcel,
EVACARLA | JULHO25,externo,2025-07-01,1000,Confirmado,2025-07-14,,,
FEBURJATO | JULHO25,externo,2025-07-15,2000,Confirmado,2025-07-19,,,
MATECO | AGO25,interno,2025-07-28,6000,Confirmado,2025-08-12,,,
FEBURJATO | AGO25,externo,2025-08-04,2000,Confirmado,2025-08-16,,,
EVACARLA | AGO25,externo,2025-08-15,1000,Iniciado,2025-08-30,,,
